nome_cliente_12;codice_articolo_12;articolo_colore_12;unita_di_misura_12;quantita_12;imponibile_12
MICO SPORT SPA;PF0034100/20X661000;100/2 ELAS RIT PA 66 - NERO;KG;369,010001659393;3690,1
MICO SPORT SPA;PF0034100/20X661004;100/2 ELAS RIT PA 66 - GRAFITE 9240;KG;130,829998970032;1308,3
MICO SPORT SPA;PF0034100/20X661008;100/2 ELAS RIT PA 66 - BLEU 1127;KG;82,4400005340576;824,4
MICO SPORT SPA;PF0034100/20X661009;100/2 ELAS RIT PA 66 - CANDIDO;KG;317,530003666878;3175,3
MICO SPORT SPA;PF0034100/20X661010;100/2 ELAS RIT PA 66 - ROSSO 003;KG;471,619997918606;4716,2
MICO SPORT SPA;PF0034100/20X661015;100/2 ELAS RIT PA 66 - GRIGIO M;KG;82,229998588562;822,3
MICO SPORT SPA;PF0034100/20X661022;100/2 ELAS RIT PA 66 - GRIGIO CAMP;KG;123,180000782013;1231,8
MICO SPORT SPA;PF0034100/20X661027;100/2 ELAS RIT PA 66 - PAVONE 071;KG;78,5899996757507;785,9
MICO SPORT SPA;PF0034100/20X661032;100/2 ELAS RIT PA 66 - GRIGIO 431/C;KG;172,620000839233;1726,2
MICO SPORT SPA;PF0034100/20X661044;100/2 ELAS RIT PA 66 - GIALLO FLUO;KG;116,659999847412;1166,6
MICO SPORT SPA;PF0034100/20X661053;100/2 ELAS RIT PA 66 - AZZURRO 04 AS87;KG;81,4900012016296;814,9
MICO SPORT SPA;PF0034100/20X661062;100/2 ELAS RIT PA 66 - VERDE CIPRESSO;KG;41,2399988174438;412,4
MICO SPORT SPA;PF0034100/20X661072;100/2 ELAS RIT PA 66 - FUXIA FLUO;KG;39,3600006103516;393,6
MICO SPORT SPA;PF0034100/20X661074;100/2 ELAS RIT PA 66 - VERDE FLUO;KG;90,2800002098083;902,8
MICO SPORT SPA;PF0034100/20X661077;100/2 ELAS RIT PA 66 - VERDE 08;KG;20,1999998092651;202
MICO SPORT SPA;PF0034224410A661081;LYCRA+PA66 (22+044 TINTO) 51 DTX - GARDENIA 13;KG;10,3900002241135;207,38
MICO SPORT SPA;PF0034227010A661033;LYCRA+PA66 (22+ 078 TINTO) 85 DTX - VERDE ARMY;KG;45,7599995136261;798,05
MICO SPORT SPA;PF0034227010A661069;LYCRA+PA66 (22+ 078 TINTO) 85 DTX - VIOLA 12;KG;9,85000038146973;171,78
MICO SPORT SPA;PF0034227010A661070;LYCRA+PA66 (22+ 078 TINTO) 85 DTX - CICLAMINO 12;KG;1,07000005245209;18,66
MICO SPORT SPA;PF0034227010A661071;LYCRA+PA66 (22+ 078 TINTO) 85 DTX - ACQUA 12;KG;43,5299997329712;759,16
MICO SPORT SPA;PF0034227010A661072;LYCRA+PA66 (22+ 078 TINTO) 85 DTX - FUXIA FLUO;KG;29,4200000762939;513,08
MICO SPORT SPA;PF0034227010A661078;LYCRA+PA66 (22+ 078 TINTO) 85 DTX  - CORAL 13;KG;15,290000140667;266,66
MICO SPORT SPA;PF0034227010A661079;LYCRA+PA66 (22+ 078 TINTO) 85 DTX  - CILIEGIA 13;KG;22,3200001716614;389,26
MICO SPORT SPA;PF0034227010A661080;LYCRA+PA66 (22+ 078 TINTO) 85 DTX  - ALLUMINIO 13;KG;9,69999980926514;169,17
MICO SPORT SPA;PF0034227010A661081;LYCRA+PA66 (22+ 078 TINTO) 85 DTX  - GARDENIA 13;KG;4,84999990463257;84,58
MICO SPORT SPA;PF0034227010A661082;LYCRA+PA66 (22+ 078 TINTO) 85 DTX  - GHIACCIAIO 13;KG;21,6699998378754;377,92
MICO SPORT SPA;PF0034784610XTC1001;78/46/1 ELAS RIT TACTEL - NERO;KG;154,159998178482;2050,33
MICO SPORT SPA;PF0034784610XTC1021;78/46/1 ELAS RIT TACTEL - ANTRACITE 4;KG;20,3699994087219;270,92
MICO SPORT SPA;PF0034784610XTC1028;78/46/1 ELAS RIT TACTEL - CANDIDO;KG;67,8999996185303;903,07
MICO SPORT SPA;PF0034784620XTC1012;78/46/2 ELAS RIT TACTEL - ARGENTO 4;KG;80,9900012016296;1012,4
MICO SPORT SPA;PF0034784620XTC1021;78/46/2 ELAS RIT TACTEL - ANTRACITE 4;KG;238,539999604225;2981,82
MICO SPORT SPA;PF0034784620XTC1028;78/46/2 ELAS RIT TACTEL - CANDIDO;KG;172,449999332428;2155,67
MICO SPORT SPA;PF0034784620XTC1029;78/46/2 ELAS RIT TACTEL - GRIGIO 431/C;KG;40,3200001716614;504,01
MICO SPORT SPA;PF0034784620XTC1043;78/46/2 ELAS RIT TACTEL - GRIGIO 71;KG;40,9300003051758;511,64
MICO SPORT SPA;PF0034784620XTC1046;78/46/2 ELAS RIT TACTEL - ROSSO 003;KG;32,4099998474121;405,14
MICO SPORT SPA;PF0034784620XTC1076;78/46/2 ELAS RIT TACTEL - ARANCIO 10;KG;41,460000038147;518,26
MICO SPORT SPA;PF0034786820X661017;78/68/2  RIT PA 66 - CANDIDO;KG;79,1400010585785;1135,67
MICO SPORT SPA;PF0034786820X661054;78/68/2  RIT PA 66 - NERO;KG;43,7199993133545;627,38
NEMAR SPA;;;KG;75,9599994421005;-941,9
NEMAR SPA;;;;;
NEMAR SPA;PF0035040/20X661010;40/2 ELAS RIT PA 66 - ROSA CROCUS 1050;KG;12,2700004577637;132,52
NEMAR SPA;PF0035100/20X661019;100/2 ELAS RIT PA 66 - NERO;KG;5,23000001907349;44,98
NEMAR SPA;PF0035782SR0X661014;78/68/2 SKINLIFE RIT PA 66 - NERO;KG;509,739999592304;6957,96
NEMAR SPA;PF0035784620XTC1000;78/46/2 ELAS RIT TACTEL - NERO STL;KG;1017,63000190258;12618,67
NEMAR SPA;PF0035784620XTC1004;78/46/2 ELAS RIT TACTEL - BIANCO;KG;184,619997262955;2289,28
