codice_articolo;kg;data_ordine;data_etichetta;giorni;Unnamed: 6
PF0034040/20XEX;40;10/04/2024;19/04/2024;9;
PF0008040/20XEX;40;15/04/2024;02/05/2024;17;
PF0371040/20XEX;20;20/05/2024;23/05/2024;3;
PF0034040/20XEX;40;14/05/2024;24/05/2024;10;
PF0720040/20XEX;60;29/04/2024;27/05/2024;28;
PF0457040/20XEX;100;14/05/2024;29/05/2024;15;
PF0034040/20XEX;40;28/05/2024;07/06/2024;10;
PF0034040/20XEX;40;10/06/2024;12/06/2024;2;
PF0034040/20XEX;40;10/06/2024;13/06/2024;3;
PF0034040/20XEX;40;10/06/2024;18/06/2024;8;
PF0309040/20XEX;15;20/06/2024;26/06/2024;6;
PF0309040/20XEX;25;20/06/2024;26/06/2024;6;
PF0805040/20XEX;20;25/06/2024;01/07/2024;6;
PF0673040/20XEX;20;24/06/2024;03/07/2024;9;
PF0673040/20XEX;25;24/06/2024;03/07/2024;9;
PF0805040/20XEX;50;25/06/2024;03/07/2024;8;
PF0349040/20XEX;25;08/07/2024;10/07/2024;2;
PF0598040/20XEX;30;03/07/2024;11/07/2024;8;
PF0034040/20XEX;20;15/07/2024;24/07/2024;9;
PF0507040/20XEX;20;23/07/2024;28/08/2024;36;
PF0327040/20XEX;54;29/08/2024;06/09/2024;8;
PF0309040/20XEX;60;09/09/2024;19/09/2024;10;
PF0720040/20XEX;60;10/09/2024;19/09/2024;9;
PF0034040/20XEX;30;20/09/2024;26/09/2024;6;
PF0309040/20XEX;120;23/09/2024;26/09/2024;3;
PF0034040/20XEX;20;20/09/2024;30/09/2024;10;
PF0371040/20XEX;50;26/09/2024;01/10/2024;5;
PF0725040/20XEX;40;26/09/2024;02/10/2024;6;
PF0371040/20XEX;50;26/09/2024;02/10/2024;6;
PF0513040/20XEX;50;30/09/2024;02/10/2024;2;
PF0513040/20XEX;40;30/09/2024;08/10/2024;8;
PF0034040/20XEX;30;02/10/2024;08/10/2024;6;
PF0034040/20XEX;40;02/10/2024;08/10/2024;6;
PF0828040/20XEX;45;09/10/2024;14/10/2024;5;
PF0507040/20XEX;20;09/10/2024;16/10/2024;7;
PF0034040/20XEX;40;08/10/2024;17/10/2024;9;
PF0725040/20XEX;50;16/10/2024;18/10/2024;2;
PF0805040/20XEX;20;22/10/2024;23/10/2024;1;
PF0805040/20XEX;50;22/10/2024;23/10/2024;1;
PF0805040/20XEX;100;22/10/2024;23/10/2024;1;
PF0327040/20XEX;30;21/10/2024;24/10/2024;3;
PF0327040/20XEX;41;21/10/2024;28/10/2024;7;
PF0673040/20XEX;40;06/11/2024;07/11/2024;1;
PF0309040/20XEX;40;07/11/2024;14/11/2024;7;
PF0507040/20XEX;20;11/11/2024;15/11/2024;4;
PF0507040/20XEX;20;11/11/2024;19/11/2024;8;
PF0034040/20XEX;20;15/11/2024;25/11/2024;10;
PF0457040/20XEX;100;25/11/2024;28/11/2024;3;
PF0309040/20XEX;20;25/11/2024;02/12/2024;7;
PF0457040/20XEX;50;25/11/2024;02/12/2024;7;
PF0457040/20XEX;100;25/11/2024;04/12/2024;9;
